text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail
Oooh I’ve never done a lip mask!,1,1,2026-04-16T12:53:29.000Z,michellenunezflores,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,6799033533295576069,7629339191240098574,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/088f1d479e79d1d7d08d630461bd0afc~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=1960ae63&x-expires=1778140800&x-signature=SFgCM4yISfoihpY5zyi5sQ3e9Vw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
WOWOWOWOW okay glass skin!!!!,0,0,2026-04-17T14:28:44.000Z,eedawwg,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,7091709596989604907,7629734900975354637,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/dfae513a57521eb854a04a7d088bf59d~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=2cbcf7de&x-expires=1778140800&x-signature=8UULZ0vIftRLmnr2WhxHUFEQ19U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
The lip masks are wayy too cute 😍,0,0,2026-04-16T16:26:33.000Z,elizzza.g98,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,6894280259194536966,7629394192901014286,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/d5efda064fd636d4dde966320fc1bf54~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=74524b1d&x-expires=1778140800&x-signature=m6mx46Elb0zTHEbfQuhUG2wnP4Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
It IS serious!! Love the effort and the results 🪩💦🪞,0,0,2026-04-18T00:18:41.000Z,anagabrieldeleonsoto,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,6620054625930625029,7629886942326670094,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/7675192b801d7e85169bfe51c22511d7~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=efc65bb1&x-expires=1778140800&x-signature=AWMJhsrkVp%2FmcpNl1TiqRhBekPw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
Oooo has those good ingredients 😍,0,0,2026-04-16T05:51:36.000Z,ppaolasa,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,6977945481435415557,7629230331036271374,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/f960d539a9339cc3ca1db18dc731cee9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=71b45112&x-expires=1778140800&x-signature=rREgQUwO2JP8fqTvocbapoUIU70%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
That hydration is incredibleeee!! 😍,0,0,2026-04-16T22:09:37.000Z,rawan.asad04,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,7441858711332258862,7629482577326310157,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/3e119e134330ed17fb8f9c4ce64fc442~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b39f5586&x-expires=1778140800&x-signature=MrtDObEZ6obWrh4N6cBuzxWATss%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
What a nice mask❤️,0,0,2026-04-16T23:07:22.000Z,xo_carmen.g,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,7521424103044334606,7629497490215863053,https://p19-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/121f40ca825d3b3d03c7e4f4839041d6~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=89d6754d&x-expires=1778140800&x-signature=iz9WbXL%2Fn0Gn4eUWWsKY8J35HaM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
Loving this duo!,0,0,2026-04-20T02:08:06.000Z,nadyadangbidness,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,6816028529907221510,7630657310084219661,https://p19-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/7d303da334a9964cf712ff9f7d332085~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=f58080f0&x-expires=1778140800&x-signature=AOFooKLPTOGP7siKox%2BGhCh1w1s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
😍😍😍,1,1,2026-04-16T06:02:55.000Z,karo.urzua,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,7787576,7629233445968806670,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/bf3e0ae729d046fb88c52f15277c0c70~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=a632b688&x-expires=1778140800&x-signature=Lo1hNrRvW11Mn12tbS4kZ35rvx4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
😍😍,0,0,2026-04-16T18:42:37.000Z,natvallejo13,https://www.tiktok.com/@jackie_just_/video/7629228604035009806,6731074447908996101,7629429216979026718,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/d0e6194427aef8dc322e516d2c25b4d8~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=bdd79f62&x-expires=1778140800&x-signature=iudXTJapNoEbqQE9h7T23B8HZCs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
Que brillo tan bonito dejo en la piel 😍,0,0,2026-04-21T05:36:11.000Z,amaliapascuas,https://www.tiktok.com/@isabella.bracamonte/video/7631077539837971725,7579420019730318349,7631081885875225374,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/ae3ada786cfc50cfd398531088e4c1cf~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=6be1ca84&x-expires=1778140800&x-signature=uTj691loQ4vpJuVvtQd3pRFA9rg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
🥰🥰🥰,0,0,2026-04-22T03:24:35.000Z,carlos.agustn775,https://www.tiktok.com/@isabella.bracamonte/video/7631077539837971725,7578002900305527863,7631419272161624863,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/a488cb7ee5574064919e4624f5576b31~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=f9dac240&x-expires=1778140800&x-signature=sXkEsrLCxhGLh5giuHochViCfjs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
Skin is hydrated and glowy.✨️,1,0,2026-04-24T07:05:16.000Z,violetaura,https://www.tiktok.com/@moknows_13/video/7629490626819542302,132500271292641280,7632217869120488206,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/792361f58a355c37e818236e5dbf14bd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b5fa79b8&x-expires=1778140800&x-signature=%2BjcORArledTSt0HnXpvkd2OQI6Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
🥰🔥😍🥰,1,0,2026-04-24T12:51:43.000Z,briannany31,https://www.tiktok.com/@moknows_13/video/7629490626819542302,6928938587371815942,7632307458581005069,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/79431ba50b1e48538a0100ae9c3fe7c7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=090df3d0&x-expires=1778140800&x-signature=T3Hn42lnj9q18d2pwmcdwymYmjY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
🔥🔥🔥,1,1,2026-04-14T22:42:26.000Z,meekrocks,https://www.tiktok.com/@nicolemarierumas/video/7628687054049676575,297684215230271488,7628748762945946398,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/ec92524d65e3a38b6bc2a119fcfd4e72~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cc964480&x-expires=1778140800&x-signature=5QEbDCyGo0ZVZEdPKp1pmqlU6aY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
New to me 😍😍,1,0,2026-04-07T15:39:26.000Z,byrameez,https://www.tiktok.com/@yupiyapa/video/7625763301611375886,7390804507280802848,7626042364704473878,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/d966c2fc7d7173d1f043b924be44937a~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=5d405607&x-expires=1778140800&x-signature=sXFc2muTmRYe%2F5Qt0Vor24fgxqQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
I want to try the lip mask!!!!🥰,1,0,2026-04-07T15:41:10.000Z,maryalicepettus,https://www.tiktok.com/@yupiyapa/video/7625763301611375886,6853827464486831109,7626042715725447949,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/bc0fe033a0b1a1ac1ba50d156ba65e3c~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b1df49cb&x-expires=1778140800&x-signature=tdaMAB8yXxUGL%2F32adIVzY5uGWM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
Ooh those masks look amazing 😻,1,0,2026-04-07T01:50:04.000Z,trend_tracker_kk,https://www.tiktok.com/@yupiyapa/video/7625763301611375886,6814379847160235014,7625828609303577365,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/9bcf776fc36734d0f7569e0547d3e245~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=040ea571&x-expires=1778140800&x-signature=qS3uXJ56JJQcIE1yKs3ScKLVRZo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
so nice❤️❤️❤️,0,0,2026-04-06T22:43:02.000Z,arlynang,https://www.tiktok.com/@yupiyapa/video/7625763301611375886,55083065538023424,7625780389907071757,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/903ce89dd6e355092d098914beb1f980~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=0361bf42&x-expires=1778140800&x-signature=1zIQNOgX82R6zROazLZCHC6Bn3s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
So beautiful 🥰,1,0,2026-04-08T04:38:56.000Z,gabyyoshikawaa,https://www.tiktok.com/@yupiyapa/video/7625763301611375886,7355355981491012651,7626243070594777887,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/4c578b18fde3eee6c6930e37741102b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e0ef4d78&x-expires=1778140800&x-signature=WJOa4B1u0fr%2BQnL9SsaAEAXEa8U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
🥰,1,0,2026-04-07T20:58:00.000Z,vehherman.ugc,https://www.tiktok.com/@yupiyapa/video/7625763301611375886,7379447493105353774,7626124258709013279,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/8333f9dfa0f3b8496a22610aaddd9163~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=0b3d672f&x-expires=1778140800&x-signature=7nhoBllxb3qcMdMqm2nkuEtCaL4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a
I'm coming now to pock these😂,1,1,2026-03-10T14:29:36.000Z,s.s.noore,https://www.tiktok.com/@makeupby_ain/video/7615499475875941640,6797411223882302470,7615633997318685460,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/29b404dc05133b8cc9a19f61c6adf138~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f7805f60&x-expires=1778140800&x-signature=HAjCe2eEqAg16qQaSzqcJ44Ba2g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
🥰🥰🥰,1,0,2026-03-10T14:29:12.000Z,s.s.noore,https://www.tiktok.com/@makeupby_ain/video/7615499475875941640,6797411223882302470,7615633879760978709,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/29b404dc05133b8cc9a19f61c6adf138~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f7805f60&x-expires=1778140800&x-signature=HAjCe2eEqAg16qQaSzqcJ44Ba2g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Gorgeous bestie 😍😍,1,1,2026-04-22T19:52:45.000Z,naomij__,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,6942565203134579717,7631673921313473301,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/496223438c30f1380a095bae3b48e213~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=16b5fec5&x-expires=1778140800&x-signature=dgyk6exjfv%2FXcNGTwTd6rOa9vbM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Tried and love these😍,1,1,2026-04-22T12:40:58.000Z,kaur.ramneet,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,6797416792689689605,7631562651601404690,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/788aefd2f4b45ad0a8c9e2ea0fdf120d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ceac7a20&x-expires=1778140800&x-signature=RA3wyH6A4tsGOl1pdpHWNIbhxgY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Amazing gloooow ✨🤩,1,1,2026-04-22T08:26:34.000Z,glow.by.deee,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,6856346420660667397,7631497101282476820,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8a2869ec60cb45bd6e1a3e69fc493bc0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e6f66e46&x-expires=1778140800&x-signature=C6tAuzuQmxiVGY1RuqSBpy%2BoeYY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Queen energy 👌 😍,1,1,2026-04-21T00:09:26.000Z,shirlswithlove,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,282085441615564800,7630997833391686407,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d341973b43abe66f1499d7e1cbfc1230~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cf242b44&x-expires=1778140800&x-signature=SbI7xcjFRxfdoKzyRurTA3gKztE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Yess girll 😍😍😍😍😍,1,1,2026-04-21T16:06:56.000Z,gabriellakasto,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,6620709232344285189,7631244641026851616,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/a1ac192500dc68c05002c5bc952488e5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=aaebabbd&x-expires=1778140800&x-signature=7ckxTEHZnJX867wCz7lOnJQ7KyE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
wow🥰,1,1,2026-04-20T23:38:11.000Z,jd_meet22,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,6547707685108732928,7630989794784903956,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/0e09007a367674964485dacd21dda0d0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2b7a703d&x-expires=1778140800&x-signature=rqY3pVLnHJppHyOlg1Bl%2FKFaK58%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Omg yes,1,1,2026-04-20T23:30:41.000Z,franzandayyy,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,7216378176272073734,7630987878042354453,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/80c1978f2e3d98dd1abf9dbafe59ebca~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=128e1bf4&x-expires=1778140800&x-signature=%2FEFl5prYdhp97Uu9vlPvVKnB1D8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Sooo nice 💙,1,1,2026-04-21T08:53:10.000Z,imsyneathita2,https://www.tiktok.com/@rafiyaww/video/7630973164813552917,7422623835130889223,7631132847370027797,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1b98c0eff9e3df54a3d6944578fcec4d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=78bdb9bc&x-expires=1778140800&x-signature=f9HMxEgUpmw%2BL1aWXHEQWNibhgo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5
Oooh I love your routine 🥰,1,1,2026-04-11T12:43:48.000Z,slpnnrm,https://www.tiktok.com/@rachelleking93/video/7627225011656379656,86512586438934528,7627481474828190472,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/107b448f1105e29a68ff92b031ec4921~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0ca6adbc&x-expires=1778140800&x-signature=DgvgwfRqJSv3fwXfzISqxsIe6IA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
Looks so beautiful 😍,1,1,2026-04-12T02:53:20.000Z,gabyyoshikawaa,https://www.tiktok.com/@rachelleking93/video/7627225011656379656,7355355981491012651,7627700298328408863,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/4c578b18fde3eee6c6930e37741102b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=38f411d0&x-expires=1778140800&x-signature=rhqUf1Ib1ZKPVdIxNCG4NbLHNSs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
Both the mask looks amazing,1,1,2026-04-11T16:37:49.000Z,thereveriechronicles,https://www.tiktok.com/@rachelleking93/video/7627225011656379656,7491845632718537733,7627541768175305488,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/95496ff26bc74aab76f8f04850029a58~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=871e07e4&x-expires=1778140800&x-signature=67w%2BnUnzkMgWtT%2FcIk37tmeSf%2Bo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
Looks so good 😍,1,1,2026-04-13T13:27:39.000Z,swijayaaa,https://www.tiktok.com/@rachelleking93/video/7627225011656379656,6871900990724260866,7628234933743780625,https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/0b2803fca4e16a5a74c84ed7a59cf233~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c1e20953&x-expires=1778140800&x-signature=aAm%2BAiwlr24QJYCCZqxou1WKD4c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
The texture looks so good 😻,1,1,2026-04-11T13:51:27.000Z,kiyowoon7,https://www.tiktok.com/@rachelleking93/video/7627225011656379656,7287607530527999009,7627498885736416022,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/211f2b47533e8d97564018f8f97d18f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c244abf&x-expires=1778140800&x-signature=52PZJxZb1SqDfFpCJctATeemwlM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
La mascaría me encanta 20 minutos me parece perfecto uso las otras y son 2 horas me parece demasiado ! Que bello empaque está hermoso los de los labios cuánto tiempo se los dejo ?,0,0,2026-04-13T17:22:49.000Z,gabriellecb92,https://www.tiktok.com/@raqueldiaryy/video/7628290880050416910,6925979470093255686,7628295262600119071,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c13aa189fd1cf197017c006163c8454d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2cf52214&x-expires=1778140800&x-signature=OoByEnfPLT3FqFrKEe%2FbDkc1%2FJY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Esta marca no la conocía pero se ve que actúa bastante bien en la piel,0,0,2026-04-14T15:41:22.000Z,luz1468sandy,https://www.tiktok.com/@raqueldiaryy/video/7628290880050416910,7059920938334536710,7628640318230037261,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d6f6fb597572e2d83442a2cd991418fd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=460f0a5b&x-expires=1778140800&x-signature=6V0dNfm3rIOUPpHlMIWqL8wcwAY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Quiero la mascarilla delos labios lo vente separado ?,0,0,2026-04-15T12:26:19.000Z,chily1993,https://www.tiktok.com/@raqueldiaryy/video/7628290880050416910,6866408478601200645,7628961141780398861,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d4b41bd1786cbf5b14521a0d7f0009a3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9c3f8149&x-expires=1778140800&x-signature=rbp0bu3S0xu6gjcvMshDcvUplQU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Amo las mascarillas diosiooo✨✨✨,0,0,2026-04-15T15:01:28.000Z,jesi_salcedo2,https://www.tiktok.com/@raqueldiaryy/video/7628290880050416910,7550176157100295182,7629001125082415885,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/775b781b35ca12a3fd6a5c0c37a494a9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6c6b0b90&x-expires=1778140800&x-signature=YCAAfbJvCsa6a7NQxYbK9egFihA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
